organisation,organisationLabel,location,locationLabel
http://www.wikidata.org/entity/Q2901382,Uppsala University Library,http://www.wikidata.org/entity/Q1044419,Carolina Rediviva
http://www.wikidata.org/entity/Q189022,Imperial College London,http://www.wikidata.org/entity/Q86113860,"White City Campus, Imperial College London"
http://www.wikidata.org/entity/Q223429,University of Birmingham,http://www.wikidata.org/entity/Q3047556,Edgbaston
http://www.wikidata.org/entity/Q189022,Imperial College London,http://www.wikidata.org/entity/Q86114776,"Hammersmith Campus, Imperial College London"
http://www.wikidata.org/entity/Q34433,University of Oxford,http://www.wikidata.org/entity/Q23169,Oxfordshire
http://www.wikidata.org/entity/Q34433,University of Oxford,http://www.wikidata.org/entity/Q34217,Oxford
http://www.wikidata.org/entity/Q189022,Imperial College London,http://www.wikidata.org/entity/Q86088281,"South Kensington Campus, Imperial College London"
http://www.wikidata.org/entity/Q1045828,University of East Anglia,http://www.wikidata.org/entity/Q130191,Norwich
http://www.wikidata.org/entity/Q198678,Swedish Radiation Safety Authority,http://www.wikidata.org/entity/Q54758,Katrineholm
http://www.wikidata.org/entity/Q223429,University of Birmingham,http://www.wikidata.org/entity/Q23124,West Midlands
http://www.wikidata.org/entity/Q223429,University of Birmingham,http://www.wikidata.org/entity/Q2256,Birmingham
http://www.wikidata.org/entity/Q189022,Imperial College London,http://www.wikidata.org/entity/Q7517190,Silwood Park
http://www.wikidata.org/entity/Q270532,University of Aberdeen,http://www.wikidata.org/entity/Q36405,Aberdeen
http://www.wikidata.org/entity/Q3126873,Erasmus MC,http://www.wikidata.org/entity/Q34370,Rotterdam
http://www.wikidata.org/entity/Q1972721,Luleå University of Technology,http://www.wikidata.org/entity/Q7230430,Porsön
http://www.wikidata.org/entity/Q7654827,Swedish Research Council,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q1972721,Luleå University of Technology,http://www.wikidata.org/entity/Q26268,Luleå
