personLabel,universityLabel,organisationLabel
Elias Wessén,Uppsala University,Stockholm University
Hans Rosling,Uppsala University,Karolinska Institute
Gustaf Erik Pasch,Uppsala University,Karolinska Institute
Pehr Kalm,Uppsala University,Uppsala University
Helge Backlund,Uppsala University,Åbo Akademi University
Sigvard Arne Eklund,Uppsala University,Royal Institute of Technology
Bengt Westerlund,Uppsala University,Uppsala University
Bror Yngve Sjöstedt,Uppsala University,Swedish Museum of Natural History
Gerard De Geer,Uppsala University,Geological Survey of Sweden
Helge Backlund,Uppsala University,Uppsala University
Göran Wahlenberg,Uppsala University,Uppsala University
Gunnar Rudberg,Uppsala University,Uppsala University
Gunnar Rudberg,Uppsala University,University of Oslo
Gustaf Retzius,Uppsala University,Lund University
Gerard De Geer,Uppsala University,Stockholm University
Torsten Carleman,Uppsala University,Uppsala University
Magnus Huss,Uppsala University,Karolinska Institute
Birger Mörner,Uppsala University,Ruotsin Helsingin-suurlähetystö
Lennart von Post,Uppsala University,Stockholm University
Torsten Carleman,Uppsala University,Lund University
Torsten Carleman,Uppsala University,Stockholm University
Gustaf Åkerman,Uppsala University,University of Gothenburg
Birger Bohlin,Uppsala University,Uppsala University
Carl Gyllenborg,Uppsala University,Uppsala University
Oscar Levertin,Uppsala University,Uppsala University
Lennart Olsson,Uppsala University,Uppsala University
Per-Olov Löwdin,Uppsala University,Uppsala University
Johannes Steuchius,Uppsala University,Uppsala University
Gustaf Retzius,Uppsala University,Karolinska Institute
Erik Prosperin,Uppsala University,Uppsala University
Stig Wikander,Uppsala University,Uppsala University
Anders Rapp,Uppsala University,Lund University
Kenneth Hugdahl,Uppsala University,University of Bergen
Sten de Geer,Uppsala University,Stockholm School of Economics
Sara Danius,Uppsala University,Uppsala University
Ulf Grenander,Uppsala University,Royal Institute of Technology
Astrid Cleve,Uppsala University,Uppsala University
Sara Danius,Uppsala University,Stockholm University
Björn Vennström,Uppsala University,Karolinska Institute
Bo Sundqvist,Uppsala University,Uppsala University
Carl Martin Edsman,Uppsala University,Uppsala University
Ebbe Hertzberg,Uppsala University,University of Oslo
Ulf Grenander,Uppsala University,Stockholm University
Carl Martin Edsman,Uppsala University,Lund University
Asta Ekenvall,Uppsala University,Gothenburg University Library
Arne Broman,Uppsala University,Chalmers University of Technology
Lars Fredrik Svanberg,Uppsala University,Uppsala University
Dag Norberg,Uppsala University,Stockholm University
Erik Albert Holmgren,Uppsala University,Uppsala University
Sara Danius,Uppsala University,Södertörn University
Georg Alanus,Uppsala University,Åbo Akademi University
Olaus Stenius,Uppsala University,Uppsala University
Hans Dalborg,Uppsala University,Uppsala University
Svante Janson,Uppsala University,Uppsala University
Johannes Canuti Lenaeus,Uppsala University,Uppsala University
Agnes Geijer,Uppsala University,Swedish National Heritage Board
Svante Janson,Uppsala University,Stockholm University
Ashk Dahlén,Uppsala University,Uppsala University
Karl Vilhelm Zetterstéen,Uppsala University,Uppsala University
Lena Marcusson,Uppsala University,Uppsala University
Bertil Gustafsson,Uppsala University,Uppsala University
Sten Nordin,Uppsala University,Stockholm School of Economics
Fredrik Georg Afzelius,Uppsala University,Uppsala University
Karolina Ekholm,Uppsala University,Stockholm University
Per Beskow,Uppsala University,Lund University
Karl Vilhelm Zetterstéen,Uppsala University,Lund University
Siv Andersson,Uppsala University,Uppsala University
Solfrid Söderlind,Uppsala University,Nationalmuseum
Greta Arwidsson,Uppsala University,Uppsala University
Li Bennich-Björkman,Uppsala University,Uppsala University
Maria Strømme,Uppsala University,Uppsala University
Olga Botner,Uppsala University,Uppsala University
Solfrid Söderlind,Uppsala University,Uppsala University
Hans Dalborg,Uppsala University,Stockholm School of Economics
Axel Hamberg,Uppsala University,Uppsala University
Bo Thidé,Uppsala University,Swedish Institute of Space Physics
Alfred Lagerheim,Uppsala University,Stockholm School of Economics
Laurentius Paulinus Gothus,Uppsala University,Uppsala University
Greta Arwidsson,Uppsala University,Stockholm University
Solfrid Söderlind,Uppsala University,Lund University
Karolina Ekholm,Uppsala University,Stockholm School of Economics
Sten de Geer,Uppsala University,Stockholm University
Gustaf Hallström,Uppsala University,Swedish National Heritage Board
Karolina Widerström,Uppsala University,Karolinska Institute
Karl Gustaf Westman,Uppsala University,Uppsala University
Elsa Eschelsson,Uppsala University,Uppsala University
Greta Arwidsson,Uppsala University,Gotland Museum
Jöns Svanberg,Uppsala University,Uppsala University
Ingrid Hammarström,Uppsala University,Stockholm University
Ellen Fries,Uppsala University,Lyceum för flickor
Stina Stenhagen,Uppsala University,University of Gothenburg
Brigitte Mral,Uppsala University,Örebro University
Stefan Hedlund,Lund University,Lund University
Lars Holst,Lund University,Royal Institute of Technology
Hans Hertz,Lund University,Royal Institute of Technology
Anders Jarlert,Lund University,Lund University
Henrik Sjöbring,Lund University,Lund University
Otto Frostman,Lund University,Lund University
Otto Frostman,Lund University,Stockholm University
Lena Bartholdson,Uppsala University,Stockholm University
Johan Anders Höglund,Uppsala University,Linnaeus University
Sven Ove Hansson,Lund University,Royal Institute of Technology
Nils Heribert-Nilsson,Lund University,Lund University
Malte Jacobsson,Lund University,University of Gothenburg
Lars Holst,Lund University,Uppsala University
Linda S Lindström,Uppsala University,Karolinska Institute
Manzur Kader,Uppsala University,Karolinska Institute
Pehr Kölmark,Lund University,Uppsala University
Andreas Johlander,Uppsala University,Swedish Institute of Space Physics
Martin Jönsson,Lund University,University of Gothenburg
Knut Anton Walter Gyllenberg,Lund University,Lund University
Claes Fransson,Lund University,Stockholm University
Xia Shen,Uppsala University,University of Edinburgh
Gunnar Ingelman,Lund University,Uppsala University
Arvid Henrik Florman,Lund University,Lund University
Carl-Erik Fröberg,Lund University,Lund University
John Forssman,Lund University,Lund University
Sven Åke Heed,Lund University,Stockholm University
Andreas Johlander,Uppsala University,Uppsala University
Kristina Tedroff,Uppsala University,Karolinska University Hospital
Stephen Anyango,Uppsala University,European Bioinformatics Institute
Kristin Nordin,Uppsala University,Uppsala University
Evangelia Elenis,Uppsala University,Uppsala University Hospital
Anders Enemar,Lund University,University of Gothenburg
Mattias Fremling,Lund University,Lund University
Anna Runemark,Uppsala University,University of Oslo
Jakob D Wikstrom,Uppsala University,Karolinska University Hospital
Jennie Jackson,Uppsala University,Umeå University
Maria Lindskog,Uppsala University,Karolinska University Hospital
Peter Klason,Lund University,Royal Institute of Technology
Birger Kajanus,Lund University,Lund University
Cecilia Sundberg,Uppsala University,Swedish University of Agricultural Sciences
Claes Fahlander,Lund University,Lund University
Lars-Gunnar Lundh,Uppsala University,Lund University
Michael Stokes,Uppsala University,University of Sheffield
Andreas Mattsson,Uppsala University,Uppsala University
Peter Bengtson,Uppsala University,Heidelberg University
Torsten Husén,Lund University,Stockholm University
Per Jemth,Uppsala University,Uppsala University
Sara Roslin,Uppsala University,Uppsala University
Gustav Hössjer,Lund University,Lund University
Åsa Cajander,Uppsala University,Uppsala University
Gunnar Karlström,Lund University,Lund University
Olof Olsson,Uppsala University,Stockholm University
Kristina Tedroff,Uppsala University,Karolinska Institute
Patrick K. Albers,Uppsala University,University of Oxford
Akos Vegvari,Uppsala University,Lund University
Hu Li,Uppsala University,Uppsala University
Mathias Uhlén,Uppsala University,Royal Institute of Technology
Bahar Baser,Uppsala University,Coventry University
Sven Emil Snogerup,Lund University,Botaniska trädgården
Rolf Lidskog,Uppsala University,University of Gothenburg
Thomas Johansson,Lund University,University of Gothenburg
Hu Li,Uppsala University,University of Manchester
Gustav Hössjer,Lund University,Chalmers University of Technology
Maria Lindskog,Uppsala University,Karolinska Institute
Lennart Bogg,Uppsala University,Karolinska Institute
Stefan Hedlund,Lund University,Uppsala University
Ida Höijer,Uppsala University,Uppsala University
Charlotte Rolny,Uppsala University,Karolinska Institute
Kirsten Ellegaard,Uppsala University,Uppsala University
Akos Vegvari,Uppsala University,Karolinska Institute
Otto Gertz,Lund University,Lund University
"Per ""YP"" Hansson",Lund University,Lund University
Afrouz Behboudi,University of Gothenburg,University of Gothenburg
Magnus Lindh,University of Gothenburg,Sahlgrenska University Hospital
Afrouz Behboudi,University of Gothenburg,Örebro University
Malin Olofsson,University of Gothenburg,Swedish University of Agricultural Sciences
Peter Johansson,University of Gothenburg,Sahlgrenska University Hospital
Jonas Hafström,Lund University,Lund University
Jennifer E Richard,University of Gothenburg,University of Gothenburg
Abdul-Karim Abbas,University of Gothenburg,University of Gothenburg
Kristin Piikki,University of Gothenburg,Swedish University of Agricultural Sciences
Elias Magnus Fries,Lund University,Uppsala University
Hans Ekbrand,University of Gothenburg,University of Gothenburg
Magnus Lindh,University of Gothenburg,University of Gothenburg
Ola Kalén,University of Gothenburg,Swedish Meteorological and Hydrological Institute
Filipe Sousa,University of Gothenburg,University of Gothenburg
Elias Magnus Fries,Lund University,Lund University
Johan Ottosson,University of Gothenburg,Örebro University Hospital
Caroline Feldthusen,University of Gothenburg,Sahlgrenska University Hospital
Melissa Chierici,University of Gothenburg,University of Gothenburg
Georg Henning,University of Gothenburg,University of Gothenburg
Ingela Skärsäter,University of Gothenburg,Halmstad University College
Stina Ramne,University of Gothenburg,Lund University
Magnus Lundin,University of Gothenburg,University of Borås
Peter Jagers,University of Gothenburg,Chalmers University of Technology
Doris Lydahl,University of Gothenburg,University of Gothenburg
Linnea Bärebring,University of Gothenburg,University of Gothenburg
Caroline Feldthusen,University of Gothenburg,University of Gothenburg
Oluf Andersen,University of Gothenburg,University of Gothenburg
David Karlsson,University of Gothenburg,University of Gothenburg
Helen Sjöblom,University of Gothenburg,Chalmers University of Technology
Daniel Arvidsson,University of Gothenburg,University of Gothenburg
Oskar Clewe,University of Gothenburg,Uppsala University
Inger Eriksson,University of Gothenburg,Gothenburg University Library
Johan Hogmalm,University of Gothenburg,University of Gothenburg
Elias Magnus Fries,Lund University,Uppsala Botanical Garden
Mattias Georgsson,University of Gothenburg,Blekinge Institute of Technology
Dick Durevall,University of Gothenburg,University of Gothenburg
Annika Dahlgren Sandberg,University of Gothenburg,University of Gothenburg
Git Lidman,University of Gothenburg,University of Gothenburg
Manne Siegbahn,Lund University,Uppsala University
Isabell Fridh,University of Gothenburg,University of Borås
Emil Persson,University of Gothenburg,Linköping University
Bengt Gunnarsson,University of Gothenburg,University of Gothenburg
Manne Siegbahn,Lund University,Lund University
Mattias Georgsson,University of Gothenburg,University West
Victoria Johansson,University of Gothenburg,Kristianstad University College
Kajsa Ellegård,University of Gothenburg,Linköping University
Ole Hultmann,University of Gothenburg,University of Gothenburg
Xiao-Bing Zhang,University of Gothenburg,University of Gothenburg
Ole Hultmann,University of Gothenburg,Queen Silvia Children's Hospital
Nils-Erik Andén,University of Gothenburg,Uppsala University
Afrouz Behboudi,University of Gothenburg,University of Skövde
Carl Linnaeus,Lund University,Uppsala University
Göran Wennergren,University of Gothenburg,University of Gothenburg
Karin Åberg Waern,University of Gothenburg,Värmland County museum
Maria Frånlund,University of Gothenburg,Sahlgrenska University Hospital
Victoria Johansson,University of Gothenburg,Lund University
Tomas Larson,University of Gothenburg,Sahlgrenska University Hospital
Maria Castedal,University of Gothenburg,Sahlgrenska University Hospital
Kerstin Eksell,University of Gothenburg,Stockholm University
Erik Abraham Almquist,Uppsala University,Uppsala University
Claes G. Ryn,Uppsala University,University of Virginia
Eric Burman,Uppsala University,Uppsala University
Ericus Aurivillius,Uppsala University,Uppsala University
Gerhard Lindblom,Uppsala University,Stockholm University
Gottfrid Adlerz,Uppsala University,Stockholm University
Carl Wilhelm Böttiger,Uppsala University,Uppsala University
Frithiof Holmgren,Uppsala University,Uppsala University
Anders Bárány,Uppsala University,Uppsala University
Carl Henrik Bergstrand,Uppsala University,Uppsala University
Fritz Askeberg,Uppsala University,Uppsala University
Ingmar Bengtsson,Uppsala University,Uppsala University
Johan Wolter Arnberg,Uppsala University,Uppsala University
Egil Törnqvist,Uppsala University,Uppsala University
Fritz Carlson,Uppsala University,Royal Institute of Technology
Anders Bárány,Uppsala University,Stockholm University
Per-Olof Berggren,Uppsala University,Lund University
Aksel Andersson,Uppsala University,Uppsala University Library
Erik Olof Burman,Uppsala University,Uppsala University
Johan Busser,Uppsala University,Uppsala University
Lydia Wahlström,Uppsala University,Föreningen för kvinnans politiska rösträtt i Stockholm
Gunnar Aschan,Uppsala University,Linköping University
Anders Berch,Uppsala University,Uppsala University
Carl Göran Andræ,Uppsala University,Uppsala University
Natanael Beckman,Uppsala University,Uppsala University
Göran Ahrne,Uppsala University,Stockholm University
Erik Ringmar,Uppsala University,London School of Economics and Political Science
Karl Johan Warburg,Uppsala University,Uppsala University
Karl Bohlin,Uppsala University,Stockholm University
Lennart Bengtsson,Uppsala University,Stockholm University
Erik Ringmar,Uppsala University,Mid Sweden University
Natanael Beckman,Uppsala University,Lund University
Ruben G:son Berg,Uppsala University,Stockholm University
